link_lote;primeiro_leilao_data;primeiro_leilao_valor;segundo_leilao_data;segundo_leilao_valor
https://amleiloeiro.com.br/lote/21441/ivw-jetta-hl-ad-20152015;08/01/2024;48800,00;;
https://amleiloeiro.com.br/lote/21442/toyotaetios-sd-x-15l-mt-20162017;08/01/2024;32000,00;;
https://amleiloeiro.com.br/lote/21443/peugeot207-escapade-20102010;08/01/2024;12000,00;;
https://amleiloeiro.com.br/lote/21444/gmprisma-joy-20102010;08/01/2024;9600,00;;
https://amleiloeiro.com.br/lote/21445/renaultclio-authentique-10-16-vs-20072007;08/01/2024;7200,00;;
https://amleiloeiro.com.br/lote/21446/vwgol-10-20072008;08/01/2024;7200,00;;
https://amleiloeiro.com.br/lote/21447/icitroen-c5-exclusive-20-20032004;08/01/2024;4000,00;;
https://amleiloeiro.com.br/lote/21448/peugeot206-16-feline-20042004;08/01/2024;3200,00;;
https://amleiloeiro.com.br/lote/21449/hondacg-150-fan-esdi-20112011;08/01/2024;4000,00;;
https://amleiloeiro.com.br/lote/21450/yamahafactor-ybr-125-k-20102010;08/01/2024;3200,00;;
https://amleiloeiro.com.br/lote/21451/sucata;08/01/2024;180,00;;
https://amleiloeiro.com.br/lote/21452/sucata;08/01/2024;160,00;;
https://amleiloeiro.com.br/lote/21453/sucata;08/01/2024;80,00;;
https://amleiloeiro.com.br/lote/21454/sucata;08/01/2024;7,20;;
https://amleiloeiro.com.br/lote/21456/suporte-para-cameras-ronin-mx;08/01/2024;2400,00;;
https://amleiloeiro.com.br/lote/21457/lote-unificado;08/01/2024;864,00;;
https://amleiloeiro.com.br/lote/21458/gravador-digital-zoom-h5-handy-recorder;08/01/2024;2240,00;;
https://amleiloeiro.com.br/lote/21459/lote-unificado;08/01/2024;971,20;;
https://amleiloeiro.com.br/lote/21460/lote-unificado;08/01/2024;416,00;;
https://amleiloeiro.com.br/lote/21414/ivw-jetta-hl-ad-20152015;28/12/2023;48800,00;;
https://amleiloeiro.com.br/lote/21415/toyotaetios-sd-x-15l-mt-20162017;28/12/2023;32000,00;;
https://amleiloeiro.com.br/lote/21416/peugeot207-escapade-20102010;28/12/2023;12000,00;;
https://amleiloeiro.com.br/lote/21418/gmprisma-joy-20102010;28/12/2023;9600,00;;
https://amleiloeiro.com.br/lote/21419/renaultclio-authentique-10-16-vs-20072007;28/12/2023;7200,00;;
https://amleiloeiro.com.br/lote/21420/vwgol-10-20072008;28/12/2023;7200,00;;
https://amleiloeiro.com.br/lote/21421/icitroen-c5-exclusive-20-20032004;28/12/2023;4000,00;;
https://amleiloeiro.com.br/lote/21422/peugeot206-16-feline-20042004;28/12/2023;3200,00;;
https://amleiloeiro.com.br/lote/21423/hondacg-150-fan-esdi-20112011;28/12/2023;4000,00;;
https://amleiloeiro.com.br/lote/21424/yamahafactor-ybr-125-k-20102010;28/12/2023;3200,00;;
https://amleiloeiro.com.br/lote/21425/sucata;28/12/2023;180,00;;
https://amleiloeiro.com.br/lote/21426/sucata;28/12/2023;160,00;;
https://amleiloeiro.com.br/lote/21427/sucata;28/12/2023;80,00;;
https://amleiloeiro.com.br/lote/21428/sucata;28/12/2023;7,20;;
https://amleiloeiro.com.br/lote/21430/suporte-para-cameras-ronin-mx;28/12/2023;2400,00;;
https://amleiloeiro.com.br/lote/21431/lote-unificado;28/12/2023;864,00;;
https://amleiloeiro.com.br/lote/21432/gravador-digital-zoom-h5-handy-recorder;28/12/2023;2240,00;;
https://amleiloeiro.com.br/lote/21433/lote-unificado;28/12/2023;971,20;;
https://amleiloeiro.com.br/lote/21435/lote-unificado;28/12/2023;416,00;;
https://amleiloeiro.com.br/lote/21357/ivw-jetta-hl-ad-20152015;18/12/2023;48800,00;;
https://amleiloeiro.com.br/lote/21359/toyotaetios-sd-x-15l-mt-20162017;18/12/2023;32000,00;;
https://amleiloeiro.com.br/lote/21361/peugeot207-escapade-20102010;18/12/2023;12000,00;;
https://amleiloeiro.com.br/lote/21362/peugeot207hb-xr-20102011;18/12/2023;10400,00;;
https://amleiloeiro.com.br/lote/21363/gmprisma-joy-20102010;18/12/2023;9600,00;;
https://amleiloeiro.com.br/lote/21365/renaultclio-authentique-10-16-vs-20072007;18/12/2023;7200,00;;
https://amleiloeiro.com.br/lote/21366/vwgol-10-20072008;18/12/2023;7200,00;;
https://amleiloeiro.com.br/lote/21367/icitroen-c5-exclusive-20-20032004;18/12/2023;4000,00;;
https://amleiloeiro.com.br/lote/21368/peugeot206-16-feline-20042004;18/12/2023;3200,00;;
https://amleiloeiro.com.br/lote/21372/hondacg-150-fan-esdi-20112011;18/12/2023;4000,00;;
https://amleiloeiro.com.br/lote/21373/yamahafactor-ybr-125-k-20102010;18/12/2023;3200,00;;
https://amleiloeiro.com.br/lote/21382/sucata;18/12/2023;180,00;;
https://amleiloeiro.com.br/lote/21383/sucata;18/12/2023;160,00;;
https://amleiloeiro.com.br/lote/21386/sucata;18/12/2023;80,00;;
https://amleiloeiro.com.br/lote/21387/sucata;18/12/2023;7,20;;
https://amleiloeiro.com.br/lote/21283/casa-com-piscina-nereidas;24/11/2023;929551,93;11/12/2023;464775,97
https://amleiloeiro.com.br/lote/21287/parte-ideal-de-fazenda;24/11/2023;254594,25;11/12/2023;127297,12
https://amleiloeiro.com.br/lote/21288/casa;24/11/2023;42359,66;11/12/2023;21179,83
https://amleiloeiro.com.br/lote/21289/predio-comercial;24/11/2023;52949,57;11/12/2023;26474,78
