link_lote;primeiro_leilao_data;primeiro_leilao_valor;segundo_leilao_data;segundo_leilao_valor
https://amleiloeiro.com.br/lote/21441/ivw-jetta-hl-ad-20152015;08/01/2024;;;48800,00
https://amleiloeiro.com.br/lote/21442/toyotaetios-sd-x-15l-mt-20162017;08/01/2024;;;32000,00
https://amleiloeiro.com.br/lote/21443/peugeot207-escapade-20102010;08/01/2024;;;12000,00
https://amleiloeiro.com.br/lote/21444/gmprisma-joy-20102010;08/01/2024;;;9600,00
https://amleiloeiro.com.br/lote/21445/renaultclio-authentique-10-16-vs-20072007;08/01/2024;;;7200,00
https://amleiloeiro.com.br/lote/21446/vwgol-10-20072008;08/01/2024;;;7200,00
https://amleiloeiro.com.br/lote/21447/icitroen-c5-exclusive-20-20032004;08/01/2024;;;4000,00
https://amleiloeiro.com.br/lote/21448/peugeot206-16-feline-20042004;08/01/2024;;;3200,00
https://amleiloeiro.com.br/lote/21449/hondacg-150-fan-esdi-20112011;08/01/2024;;;4000,00
https://amleiloeiro.com.br/lote/21450/yamahafactor-ybr-125-k-20102010;08/01/2024;;;3200,00
https://amleiloeiro.com.br/lote/21451/sucata;08/01/2024;;;180,00
https://amleiloeiro.com.br/lote/21452/sucata;08/01/2024;;;160,00
https://amleiloeiro.com.br/lote/21453/sucata;08/01/2024;;;80,00
https://amleiloeiro.com.br/lote/21454/sucata;08/01/2024;;;7,20
https://amleiloeiro.com.br/lote/21456/suporte-para-cameras-ronin-mx;08/01/2024;;;2400,00
https://amleiloeiro.com.br/lote/21457/lote-unificado;08/01/2024;;;864,00
https://amleiloeiro.com.br/lote/21458/gravador-digital-zoom-h5-handy-recorder;08/01/2024;;;2240,00
https://amleiloeiro.com.br/lote/21459/lote-unificado;08/01/2024;;;971,20
https://amleiloeiro.com.br/lote/21460/lote-unificado;08/01/2024;;;416,00
https://amleiloeiro.com.br/lote/21414/ivw-jetta-hl-ad-20152015;28/12/2023;;;48800,00
https://amleiloeiro.com.br/lote/21415/toyotaetios-sd-x-15l-mt-20162017;28/12/2023;;;32000,00
https://amleiloeiro.com.br/lote/21416/peugeot207-escapade-20102010;28/12/2023;;;12000,00
https://amleiloeiro.com.br/lote/21418/gmprisma-joy-20102010;28/12/2023;;;9600,00
